FirstName LastName, ssn, Initial Deposit, email, Type
Terence Kelly,192834838,1000,tkelly@gmail.com,savings
Katie Owens,126432746,6000,katieowe234@yahoo.com,savings
Geraldine Sandoval,216373582,80000,gsandoval227@gmail.com,checking
Wanda Brock,125485027,2700,wabrock@hotmail.com,savings
Lewis Jackson,990486236,1550,lewiss10@hotmail.com,checking
Terrell Zimmerman,126785949,6000,zimmerman@yahoo.com,checking
Cheryl Herrera,174366372,7000,cherrera@hotmail.com,savings
Jared Jenkins,127545723,3600,jaredkins27@gmail.com,checking
Kimberly Tate,125459649,10000,kimberlyTate@gmail.com,savings
Lillie Robbins,866426122,20000,lrob65@hotmail.com,checking
Max Harmon,753164953,40600,mharmon99@gmail.com,checking
Lois Snyder,435738294,6100,snyder34@hotmail.com,savings
Saul Padilla,371285923,5400,sauldilla@gmail.com,savings
Barry Patterson,936153743,3700,barrypat77@gmail.com,savings
Bradford Fuller,612874823,7900,braddie2000@gmail.com,checking
Roger Clark,793274632,8000,rogerc@yahoo.com,checking
Ivan Webb,821749047,16000,ivanwebb@hotmail.com,savings
Anna Thornton,920174610,27000,annathor12@gmail.com,checking
Jon Gordon,853017260,54000,johnnyg2@hotmail.com,savings
Agnes Bell,432537950,120000,agbell23@yahoo.com,checking
Leticia Harrington,672938202,6500,leticeharr24@gmail.com,savings
Luke Griffith,542839327,700,lukeg44@gmail.com,savings
Brian Jones,312463284,4000,bjones89@gmail.com,checking
Jaime Gibson,125428502,2500,jgibs@hotmail.com,savings
Rene Howell,162840539,1500,rhowell@gmail.com,checking
